Metrics;LoadPoint;Bandwidth;src;dest;;rep1;rep2;rep3;rep4;rep5;rep6;rep7;rep8;rep9;rep10;;;;
blocking probabilities per pair and bandwidth;4;40.0Gbps;4;12; ;0;0;0;0;0;0;0;0;0;0;;;;
blocking probabilities per pair and bandwidth;4;40.0Gbps;6;5; ;0;0;0;0;0;0;0;0;0;0;;;;
blocking probabilities per pair and bandwidth;4;40.0Gbps;9;17; ;0;0;0;0;0;0;0;0;0;0;;;;
blocking probabilities per pair and bandwidth;4;40.0Gbps;15;8; ;0;0;0;0;0;0;0;0;0;0;;;;
blocking probabilities per pair and bandwidth;4;40.0Gbps;26;16; ;0;0;0;0;0;0;0;0;0;0;;;;
blocking probabilities per pair and bandwidth;4;40.0Gbps;14;25; ;0;0;0;0;0;0;0;0;0;0;;;;
blocking probabilities per pair and bandwidth;4;40.0Gbps;17;8; ;0;0;0;0;0;0;0;0.0625;0;0;;;;
blocking probabilities per pair and bandwidth;4;40.0Gbps;1;9; ;0;0;0;0;0;0;0;0;0;0;;;;
blocking probabilities per pair and bandwidth;4;40.0Gbps;26;11; ;0;0;0;0;0;0;0;0;0;0;;;;
blocking probabilities per pair and bandwidth;4;40.0Gbps;2;18; ;0;0;0;0;0;0;0;0;0;0;;;;
blocking probabilities per pair and bandwidth;4;40.0Gbps;8;11; ;0;0;0;0;0;0;0;0;0;0;;;;
blocking probabilities per pair and bandwidth;4;40.0Gbps;27;16; ;0;0;0;0;0;0;0;0;0;0;;;;
blocking probabilities per pair and bandwidth;4;40.0Gbps;27;5; ;0;0;0;0;0;0;0;0.047619048;0;0;;;;
blocking probabilities per pair and bandwidth;4;40.0Gbps;10;18; ;0;0;0;0;0;0;0.05;0;0;0;;;;
blocking probabilities per pair and bandwidth;4;40.0Gbps;13;3; ;0;0;0;0;0;0;0;0;0;0;;;;
blocking probabilities per pair and bandwidth;4;40.0Gbps;24;6; ;0;0;0;0;0;0;0;0;0;0;;;;
blocking probabilities per pair and bandwidth;4;40.0Gbps;22;25; ;0;0;0;0;0;0;0;0;0;0;;;;
blocking probabilities per pair and bandwidth;4;40.0Gbps;28;20; ;0;0;0;0;0;0;0;0;0;0;;;;
blocking probabilities per pair and bandwidth;4;40.0Gbps;11;2; ;0;0;0;0;0;0;0;0;0;0;;;;
blocking probabilities per pair and bandwidth;4;40.0Gbps;4;1; ;0;0;0;0;0;0;0;0;0;0;;;;
blocking probabilities per pair and bandwidth;4;40.0Gbps;10;23; ;0;0;0;0;0;0;0;0;0;0;;;;
blocking probabilities per pair and bandwidth;4;40.0Gbps;21;18; ;0;0;0;0;0.045454545;0;0;0;0;0;;;;
blocking probabilities per pair and bandwidth;4;40.0Gbps;27;26; ;0;0.04;0;0;0;0;0;0;0;0;;;;
blocking probabilities per pair and bandwidth;4;40.0Gbps;17;23; ;0;0;0;0;0;0;0;0;0;0;;;;
blocking probabilities per pair and bandwidth;4;40.0Gbps;11;13; ;0;0;0;0;0;0;0;0;0;0;;;;
blocking probabilities per pair and bandwidth;4;40.0Gbps;15;1; ;0;0.045454545;0;0;0;0;0;0;0;0;;;;
blocking probabilities per pair and bandwidth;4;40.0Gbps;27;8; ;0;0.058823529;0;0;0;0;0.04;0;0;0;;;;
blocking probabilities per pair and bandwidth;4;40.0Gbps;3;11; ;0;0;0;0;0;0;0;0;0;0;;;;
blocking probabilities per pair and bandwidth;4;40.0Gbps;8;9; ;0;0;0;0;0;0;0;0;0;0;;;;
blocking probabilities per pair and bandwidth;4;40.0Gbps;16;21; ;0;0;0;0;0;0;0;0;0;0;;;;
blocking probabilities per pair and bandwidth;4;40.0Gbps;24;20; ;0;0;0;0;0;0;0;0;0;0;;;;
blocking probabilities per pair and bandwidth;4;40.0Gbps;27;3; ;0;0;0;0;0;0;0;0;0;0;;;;
blocking probabilities per pair and bandwidth;4;40.0Gbps;8;17; ;0;0;0;0;0;0;0;0;0;0.04;;;;
blocking probabilities per pair and bandwidth;4;40.0Gbps;5;22; ;0;0;0;0;0;0;0;0;0;0;;;;
blocking probabilities per pair and bandwidth;4;40.0Gbps;13;20; ;0;0;0;0;0;0;0;0;0;0;;;;
blocking probabilities per pair and bandwidth;4;40.0Gbps;11;18; ;0;0;0;0;0;0;0;0;0;0;;;;
blocking probabilities per pair and bandwidth;4;40.0Gbps;3;24; ;0;0;0;0;0;0;0;0;0;0;;;;
blocking probabilities per pair and bandwidth;4;40.0Gbps;17;1; ;0;0;0;0;0;0;0;0;0;0;;;;
blocking probabilities per pair and bandwidth;4;40.0Gbps;28;11; ;0;0;0;0;0;0;0;0;0;0;;;;
blocking probabilities per pair and bandwidth;4;40.0Gbps;18;1; ;0;0;0;0;0;0;0;0;0;0;;;;
blocking probabilities per pair and bandwidth;4;40.0Gbps;15;13; ;0;0;0;0;0;0;0;0;0;0;;;;
blocking probabilities per pair and bandwidth;4;40.0Gbps;17;12; ;0;0;0;0;0;0;0;0;0;0;;;;
blocking probabilities per pair and bandwidth;4;40.0Gbps;3;22; ;0;0;0.058823529;0;0;0;0;0;0;0;;;;
blocking probabilities per pair and bandwidth;4;40.0Gbps;21;8; ;0;0.047619048;0;0;0;0;0;0;0;0;;;;
blocking probabilities per pair and bandwidth;4;40.0Gbps;24;7; ;0;0;0.047619048;0;0;0;0;0;0;0;;;;
blocking probabilities per pair and bandwidth;4;40.0Gbps;23;8; ;0;0;0;0.058823529;0;0;0;0;0;0;;;;
blocking probabilities per pair and bandwidth;4;40.0Gbps;25;18; ;0;0;0;0;0;0;0;0;0;0;;;;
blocking probabilities per pair and bandwidth;4;40.0Gbps;24;17; ;0;0;0;0;0;0;0;0;0;0;;;;
blocking probabilities per pair and bandwidth;4;40.0Gbps;1;21; ;0;0;0;0.047619048;0;0;0;0;0;0;;;;
blocking probabilities per pair and bandwidth;4;40.0Gbps;20;14; ;0;0;0;0;0;0;0;0;0;0;;;;
blocking probabilities per pair and bandwidth;4;40.0Gbps;7;10; ;0;0;0;0;0;0;0;0;0;0;;;;
blocking probabilities per pair and bandwidth;4;40.0Gbps;12;23; ;0;0;0;0;0;0;0;0;0;0;;;;
blocking probabilities per pair and bandwidth;4;40.0Gbps;25;17; ;0;0;0;0;0.041666667;0;0;0;0;0;;;;
blocking probabilities per pair and bandwidth;4;40.0Gbps;18;17; ;0;0;0;0;0;0;0;0;0;0;;;;
blocking probabilities per pair and bandwidth;4;40.0Gbps;12;27; ;0;0;0;0;0;0;0;0;0;0;;;;
blocking probabilities per pair and bandwidth;4;40.0Gbps;4;8; ;0;0;0;0;0;0;0;0;0;0;;;;
blocking probabilities per pair and bandwidth;4;40.0Gbps;8;4; ;0;0;0;0;0;0;0;0;0;0;;;;
blocking probabilities per pair and bandwidth;4;40.0Gbps;11;1; ;0;0;0;0;0.045454545;0;0;0;0;0;;;;
blocking probabilities per pair and bandwidth;4;40.0Gbps;12;19; ;0;0;0;0;0;0;0;0;0;0;;;;
blocking probabilities per pair and bandwidth;4;40.0Gbps;22;23; ;0;0.055555556;0;0;0;0;0.043478261;0;0;0;;;;
blocking probabilities per pair and bandwidth;4;40.0Gbps;9;8; ;0;0;0;0;0;0;0;0;0;0;;;;
blocking probabilities per pair and bandwidth;4;40.0Gbps;5;26; ;0;0;0;0;0;0;0;0;0;0;;;;
blocking probabilities per pair and bandwidth;4;40.0Gbps;15;11; ;0;0;0;0;0;0;0;0;0;0;;;;
blocking probabilities per pair and bandwidth;4;40.0Gbps;11;6; ;0;0;0;0;0;0;0;0;0;0;;;;
blocking probabilities per pair and bandwidth;4;40.0Gbps;14;17; ;0;0;0;0;0;0;0;0;0;0;;;;
blocking probabilities per pair and bandwidth;4;40.0Gbps;23;12; ;0;0;0;0;0;0;0;0;0;0;;;;
blocking probabilities per pair and bandwidth;4;40.0Gbps;4;17; ;0.05;0;0;0;0;0;0;0;0;0;;;;
blocking probabilities per pair and bandwidth;4;40.0Gbps;20;3; ;0;0.04;0;0;0;0;0;0;0;0.04;;;;
blocking probabilities per pair and bandwidth;4;40.0Gbps;21;1; ;0;0;0;0;0;0;0;0;0;0;;;;
blocking probabilities per pair and bandwidth;4;40.0Gbps;25;5; ;0;0;0;0;0;0;0;0.05;0;0;;;;
blocking probabilities per pair and bandwidth;4;40.0Gbps;2;27; ;0;0;0;0;0;0;0;0;0;0;;;;
blocking probabilities per pair and bandwidth;4;40.0Gbps;25;22; ;0;0;0;0;0;0;0;0;0;0;;;;
blocking probabilities per pair and bandwidth;4;40.0Gbps;1;8; ;0;0;0;0;0;0;0;0;0;0;;;;
blocking probabilities per pair and bandwidth;4;40.0Gbps;8;25; ;0;0;0;0;0;0;0;0;0;0;;;;
blocking probabilities per pair and bandwidth;4;40.0Gbps;13;21; ;0;0;0;0;0;0;0;0;0;0;;;;
blocking probabilities per pair and bandwidth;4;40.0Gbps;16;15; ;0;0;0;0;0;0;0;0;0;0;;;;
blocking probabilities per pair and bandwidth;4;40.0Gbps;19;26; ;0;0;0;0;0;0;0;0;0;0;;;;
blocking probabilities per pair and bandwidth;4;40.0Gbps;10;5; ;0;0;0;0;0;0;0;0;0;0;;;;
blocking probabilities per pair and bandwidth;4;40.0Gbps;15;5; ;0;0;0;0;0;0;0;0;0;0.041666667;;;;
blocking probabilities per pair and bandwidth;4;40.0Gbps;7;8; ;0;0;0;0;0;0;0;0;0;0;;;;
blocking probabilities per pair and bandwidth;4;40.0Gbps;13;25; ;0;0;0;0;0;0;0.041666667;0;0;0;;;;
blocking probabilities per pair and bandwidth;4;40.0Gbps;4;27; ;0;0;0;0;0.052631579;0;0;0;0;0;;;;
blocking probabilities per pair and bandwidth;4;40.0Gbps;15;19; ;0;0;0;0;0.043478261;0;0;0;0;0;;;;
blocking probabilities per pair and bandwidth;4;40.0Gbps;16;22; ;0;0;0;0;0;0;0;0;0;0;;;;
blocking probabilities per pair and bandwidth;4;40.0Gbps;9;6; ;0;0;0;0;0;0;0;0;0;0;;;;
blocking probabilities per pair and bandwidth;4;40.0Gbps;18;28; ;0;0;0;0;0;0;0;0;0;0;;;;
blocking probabilities per pair and bandwidth;4;40.0Gbps;22;28; ;0;0;0;0;0;0;0;0;0;0;;;;
blocking probabilities per pair and bandwidth;4;40.0Gbps;17;20; ;0;0;0;0;0;0;0;0;0;0;;;;
blocking probabilities per pair and bandwidth;4;40.0Gbps;18;22; ;0;0.066666667;0.05;0;0;0.045454545;0;0;0;0;;;;
blocking probabilities per pair and bandwidth;4;40.0Gbps;20;5; ;0;0;0;0;0;0;0;0;0;0.041666667;;;;
blocking probabilities per pair and bandwidth;4;40.0Gbps;6;15; ;0;0;0;0;0;0;0;0;0;0;;;;
blocking probabilities per pair and bandwidth;4;40.0Gbps;11;7; ;0;0;0;0.071428571;0;0;0;0;0;0;;;;
blocking probabilities per pair and bandwidth;4;40.0Gbps;18;26; ;0;0;0;0;0;0;0;0;0;0;;;;
blocking probabilities per pair and bandwidth;4;40.0Gbps;7;22; ;0;0;0;0;0;0;0;0;0.066666667;0;;;;
blocking probabilities per pair and bandwidth;4;40.0Gbps;9;22; ;0;0;0;0;0;0;0;0;0;0;;;;
blocking probabilities per pair and bandwidth;4;40.0Gbps;21;13; ;0;0;0;0;0;0;0;0;0;0;;;;
blocking probabilities per pair and bandwidth;4;40.0Gbps;4;14; ;0;0;0;0;0;0.037037037;0;0;0;0;;;;
blocking probabilities per pair and bandwidth;4;40.0Gbps;28;8; ;0;0;0;0;0;0;0;0;0;0;;;;
blocking probabilities per pair and bandwidth;4;40.0Gbps;18;27; ;0;0;0.058823529;0;0;0;0;0;0;0;;;;
blocking probabilities per pair and bandwidth;4;40.0Gbps;12;11; ;0;0;0;0;0;0;0;0;0;0;;;;
blocking probabilities per pair and bandwidth;4;40.0Gbps;18;7; ;0;0;0;0;0;0;0;0;0.045454545;0;;;;
blocking probabilities per pair and bandwidth;4;40.0Gbps;18;25; ;0;0;0;0;0;0;0;0;0;0;;;;
blocking probabilities per pair and bandwidth;4;40.0Gbps;10;3; ;0;0;0;0;0;0;0;0;0;0;;;;
blocking probabilities per pair and bandwidth;4;40.0Gbps;16;1; ;0;0.04;0;0.05;0.058823529;0;0.043478261;0;0;0;;;;
blocking probabilities per pair and bandwidth;4;40.0Gbps;8;22; ;0;0;0;0;0;0;0;0;0;0;;;;
blocking probabilities per pair and bandwidth;4;40.0Gbps;21;25; ;0;0;0;0;0;0;0;0;0;0;;;;
blocking probabilities per pair and bandwidth;4;40.0Gbps;27;1; ;0.045454545;0;0;0;0;0.041666667;0;0;0;0.0625;;;;
blocking probabilities per pair and bandwidth;4;40.0Gbps;16;9; ;0;0;0;0;0;0;0;0;0;0;;;;
blocking probabilities per pair and bandwidth;4;40.0Gbps;21;19; ;0;0;0;0;0;0;0;0;0;0;;;;
blocking probabilities per pair and bandwidth;4;40.0Gbps;12;6; ;0;0;0;0;0;0;0;0;0;0;;;;
blocking probabilities per pair and bandwidth;4;40.0Gbps;23;28; ;0;0;0;0;0;0;0;0;0;0;;;;
blocking probabilities per pair and bandwidth;4;40.0Gbps;1;15; ;0;0;0;0;0;0;0;0;0;0;;;;
blocking probabilities per pair and bandwidth;4;40.0Gbps;5;25; ;0;0;0;0;0;0;0;0;0;0;;;;
blocking probabilities per pair and bandwidth;4;40.0Gbps;7;28; ;0;0;0;0;0;0;0;0;0;0;;;;
blocking probabilities per pair and bandwidth;4;40.0Gbps;11;19; ;0;0;0;0;0;0;0;0;0;0;;;;
blocking probabilities per pair and bandwidth;4;40.0Gbps;24;25; ;0;0;0;0;0;0;0;0;0;0;;;;
blocking probabilities per pair and bandwidth;4;40.0Gbps;25;12; ;0;0;0;0;0;0;0;0;0;0;;;;
blocking probabilities per pair and bandwidth;4;40.0Gbps;6;12; ;0;0;0;0;0;0;0;0;0;0;;;;
blocking probabilities per pair and bandwidth;4;40.0Gbps;26;8; ;0;0;0;0;0.043478261;0;0;0;0;0.047619048;;;;
blocking probabilities per pair and bandwidth;4;40.0Gbps;11;23; ;0;0;0;0;0;0;0;0;0;0;;;;
blocking probabilities per pair and bandwidth;4;40.0Gbps;19;17; ;0;0;0;0.058823529;0;0;0;0;0;0;;;;
blocking probabilities per pair and bandwidth;4;40.0Gbps;24;22; ;0;0;0;0;0;0;0;0;0;0;;;;
blocking probabilities per pair and bandwidth;4;40.0Gbps;1;20; ;0;0.055555556;0;0;0;0;0;0.045454545;0;0;;;;
blocking probabilities per pair and bandwidth;4;40.0Gbps;2;21; ;0;0;0;0;0;0;0;0.05;0;0;;;;
blocking probabilities per pair and bandwidth;4;40.0Gbps;9;2; ;0;0;0;0;0;0;0;0;0;0;;;;
blocking probabilities per pair and bandwidth;4;40.0Gbps;25;1; ;0;0;0;0;0;0;0;0.058823529;0;0.05;;;;
blocking probabilities per pair and bandwidth;4;40.0Gbps;25;21; ;0;0;0;0;0;0;0;0;0;0;;;;
blocking probabilities per pair and bandwidth;4;40.0Gbps;7;9; ;0;0;0.047619048;0;0;0;0;0;0;0;;;;
blocking probabilities per pair and bandwidth;4;40.0Gbps;8;21; ;0;0;0;0;0;0;0;0;0;0;;;;
blocking probabilities per pair and bandwidth;4;40.0Gbps;26;25; ;0;0;0;0;0;0;0;0;0;0;;;;
blocking probabilities per pair and bandwidth;4;40.0Gbps;6;2; ;0;0;0;0;0;0;0;0;0;0;;;;
blocking probabilities per pair and bandwidth;4;40.0Gbps;4;23; ;0;0;0;0;0;0;0;0;0;0;;;;
blocking probabilities per pair and bandwidth;4;40.0Gbps;10;25; ;0;0;0;0;0;0;0;0;0;0;;;;
blocking probabilities per pair and bandwidth;4;40.0Gbps;17;22; ;0;0;0;0;0.052631579;0;0;0;0;0;;;;
blocking probabilities per pair and bandwidth;4;40.0Gbps;21;22; ;0;0;0;0;0;0;0;0;0;0;;;;
blocking probabilities per pair and bandwidth;4;40.0Gbps;4;24; ;0;0;0;0;0;0;0;0;0;0;;;;
blocking probabilities per pair and bandwidth;4;40.0Gbps;24;5; ;0;0;0.047619048;0;0;0;0;0;0;0;;;;
blocking probabilities per pair and bandwidth;4;40.0Gbps;16;19; ;0;0;0;0;0;0;0;0;0;0;;;;
blocking probabilities per pair and bandwidth;4;40.0Gbps;24;11; ;0;0;0;0.066666667;0;0;0;0;0;0;;;;
blocking probabilities per pair and bandwidth;4;40.0Gbps;5;14; ;0;0;0;0;0;0;0;0;0;0;;;;
blocking probabilities per pair and bandwidth;4;40.0Gbps;22;10; ;0;0;0;0;0;0;0;0;0;0;;;;
blocking probabilities per pair and bandwidth;4;40.0Gbps;7;11; ;0.043478261;0;0;0;0.037037037;0;0;0;0;0;;;;
blocking probabilities per pair and bandwidth;4;40.0Gbps;10;8; ;0;0;0;0;0;0;0;0;0;0;;;;
blocking probabilities per pair and bandwidth;4;40.0Gbps;14;12; ;0;0;0;0;0;0;0;0;0;0;;;;
blocking probabilities per pair and bandwidth;4;40.0Gbps;10;13; ;0;0;0;0;0;0;0;0;0;0;;;;
blocking probabilities per pair and bandwidth;4;40.0Gbps;21;6; ;0;0.047619048;0;0;0;0;0;0;0;0;;;;
blocking probabilities per pair and bandwidth;4;40.0Gbps;22;18; ;0;0;0;0;0;0;0;0;0;0;;;;
blocking probabilities per pair and bandwidth;4;40.0Gbps;17;7; ;0;0;0;0;0.055555556;0;0.066666667;0;0;0;;;;
blocking probabilities per pair and bandwidth;4;40.0Gbps;10;14; ;0;0;0;0;0;0;0;0;0;0;;;;
blocking probabilities per pair and bandwidth;4;40.0Gbps;20;19; ;0;0;0;0;0;0;0;0;0;0;;;;
blocking probabilities per pair and bandwidth;4;40.0Gbps;7;6; ;0;0;0;0;0;0;0;0;0;0;;;;
blocking probabilities per pair and bandwidth;4;40.0Gbps;25;9; ;0;0;0;0;0;0;0;0;0;0;;;;
blocking probabilities per pair and bandwidth;4;40.0Gbps;16;5; ;0;0;0;0;0;0;0;0;0;0;;;;
blocking probabilities per pair and bandwidth;4;40.0Gbps;5;4; ;0;0;0;0.055555556;0;0;0;0.0625;0;0;;;;
blocking probabilities per pair and bandwidth;4;40.0Gbps;20;4; ;0;0;0.04;0;0;0.055555556;0;0;0;0;;;;
blocking probabilities per pair and bandwidth;4;40.0Gbps;6;27; ;0;0;0;0;0;0;0;0;0;0;;;;
blocking probabilities per pair and bandwidth;4;40.0Gbps;13;16; ;0;0;0;0;0;0;0;0;0;0;;;;
blocking probabilities per pair and bandwidth;4;40.0Gbps;6;8; ;0.038461538;0.045454545;0;0;0;0;0.038461538;0;0;0;;;;
blocking probabilities per pair and bandwidth;4;40.0Gbps;27;17; ;0;0;0;0;0;0;0;0;0;0;;;;
blocking probabilities per pair and bandwidth;4;40.0Gbps;16;12; ;0;0;0;0;0;0;0;0;0;0;;;;
blocking probabilities per pair and bandwidth;4;40.0Gbps;24;23; ;0;0;0;0;0;0;0;0;0;0;;;;
blocking probabilities per pair and bandwidth;4;40.0Gbps;5;13; ;0;0;0;0;0;0;0;0;0;0;;;;
blocking probabilities per pair and bandwidth;4;40.0Gbps;12;14; ;0;0;0;0;0;0;0;0;0;0;;;;
blocking probabilities per pair and bandwidth;4;40.0Gbps;27;11; ;0.038461538;0;0;0;0;0;0;0;0;0;;;;
blocking probabilities per pair and bandwidth;4;40.0Gbps;13;7; ;0;0;0;0;0;0;0;0;0;0;;;;
blocking probabilities per pair and bandwidth;4;40.0Gbps;10;15; ;0;0;0;0;0;0;0;0;0;0;;;;
blocking probabilities per pair and bandwidth;4;40.0Gbps;15;25; ;0;0;0;0;0;0;0;0;0;0;;;;
blocking probabilities per pair and bandwidth;4;40.0Gbps;1;19; ;0;0;0;0;0;0;0;0;0;0;;;;
blocking probabilities per pair and bandwidth;4;40.0Gbps;10;7; ;0;0;0;0;0;0;0;0;0;0;;;;
blocking probabilities per pair and bandwidth;4;40.0Gbps;13;14; ;0;0;0;0;0;0;0;0;0;0;;;;
blocking probabilities per pair and bandwidth;4;40.0Gbps;18;19; ;0;0;0;0;0;0;0;0;0;0;;;;
blocking probabilities per pair and bandwidth;4;40.0Gbps;26;18; ;0;0;0;0;0;0;0;0;0.090909091;0;;;;
blocking probabilities per pair and bandwidth;4;40.0Gbps;17;15; ;0;0;0;0;0;0;0;0;0;0;;;;
blocking probabilities per pair and bandwidth;4;40.0Gbps;12;10; ;0;0;0;0;0;0;0;0;0;0;;;;
blocking probabilities per pair and bandwidth;4;40.0Gbps;28;19; ;0;0;0;0;0;0;0;0;0;0;;;;
blocking probabilities per pair and bandwidth;4;40.0Gbps;26;27; ;0;0;0;0;0;0;0;0;0;0;;;;
blocking probabilities per pair and bandwidth;4;40.0Gbps;5;12; ;0;0.05;0;0;0;0;0;0;0;0;;;;
blocking probabilities per pair and bandwidth;4;40.0Gbps;14;6; ;0;0;0;0;0;0;0;0;0;0;;;;
blocking probabilities per pair and bandwidth;4;40.0Gbps;1;27; ;0;0;0;0;0;0;0;0;0;0;;;;
blocking probabilities per pair and bandwidth;4;40.0Gbps;18;14; ;0;0;0;0;0;0;0;0;0;0;;;;
blocking probabilities per pair and bandwidth;4;40.0Gbps;15;22; ;0;0;0;0;0.047619048;0;0;0;0;0;;;;
blocking probabilities per pair and bandwidth;4;40.0Gbps;17;19; ;0;0;0;0;0;0;0;0;0;0;;;;
blocking probabilities per pair and bandwidth;4;40.0Gbps;10;12; ;0;0;0;0.066666667;0;0;0;0;0;0;;;;
blocking probabilities per pair and bandwidth;4;40.0Gbps;20;1; ;0;0;0;0;0;0;0;0;0;0;;;;
blocking probabilities per pair and bandwidth;4;40.0Gbps;24;26; ;0;0;0;0;0;0;0;0;0;0.04;;;;
blocking probabilities per pair and bandwidth;4;40.0Gbps;23;15; ;0;0;0;0;0;0;0;0;0;0;;;;
blocking probabilities per pair and bandwidth;4;40.0Gbps;5;6; ;0;0;0;0;0;0;0;0;0;0;;;;
blocking probabilities per pair and bandwidth;4;40.0Gbps;9;15; ;0;0;0;0;0;0;0;0;0;0;;;;
blocking probabilities per pair and bandwidth;4;40.0Gbps;17;25; ;0;0;0;0;0.058823529;0;0;0;0;0;;;;
blocking probabilities per pair and bandwidth;4;40.0Gbps;26;21; ;0;0;0;0;0;0;0;0;0;0;;;;
blocking probabilities per pair and bandwidth;4;40.0Gbps;13;11; ;0;0;0;0;0;0;0;0;0;0;;;;
blocking probabilities per pair and bandwidth;4;40.0Gbps;3;19; ;0;0;0;0;0;0;0;0;0;0;;;;
blocking probabilities per pair and bandwidth;4;40.0Gbps;5;11; ;0;0;0;0;0;0;0;0;0;0;;;;
blocking probabilities per pair and bandwidth;4;40.0Gbps;7;26; ;0;0;0;0;0;0;0;0;0;0;;;;
blocking probabilities per pair and bandwidth;4;40.0Gbps;6;17; ;0;0;0;0;0;0;0;0;0;0;;;;
blocking probabilities per pair and bandwidth;4;40.0Gbps;13;22; ;0;0;0;0;0;0;0;0;0;0;;;;
blocking probabilities per pair and bandwidth;4;40.0Gbps;16;23; ;0;0;0;0;0;0;0;0.055555556;0;0;;;;
blocking probabilities per pair and bandwidth;4;40.0Gbps;23;3; ;0;0;0;0;0;0;0;0;0;0;;;;
blocking probabilities per pair and bandwidth;4;40.0Gbps;20;25; ;0;0;0;0;0;0;0;0;0;0;;;;
blocking probabilities per pair and bandwidth;4;40.0Gbps;5;17; ;0;0.043478261;0;0;0;0;0;0;0;0;;;;
blocking probabilities per pair and bandwidth;4;40.0Gbps;26;14; ;0;0;0;0;0;0;0;0;0;0;;;;
blocking probabilities per pair and bandwidth;4;40.0Gbps;20;13; ;0;0;0;0;0;0;0;0;0;0.05;;;;
blocking probabilities per pair and bandwidth;4;40.0Gbps;22;8; ;0;0;0;0.05;0;0;0;0;0;0;;;;
blocking probabilities per pair and bandwidth;4;40.0Gbps;6;19; ;0;0;0;0;0;0;0;0.047619048;0;0;;;;
blocking probabilities per pair and bandwidth;4;40.0Gbps;19;7; ;0;0;0;0;0;0;0;0.047619048;0;0;;;;
blocking probabilities per pair and bandwidth;4;40.0Gbps;11;24; ;0;0;0;0;0;0;0;0;0;0;;;;
blocking probabilities per pair and bandwidth;4;40.0Gbps;3;28; ;0;0;0;0;0.0625;0.041666667;0;0;0;0;;;;
blocking probabilities per pair and bandwidth;4;40.0Gbps;19;3; ;0;0;0;0;0;0;0;0;0.045454545;0;;;;
blocking probabilities per pair and bandwidth;4;40.0Gbps;25;7; ;0;0.047619048;0;0;0;0;0;0;0;0;;;;
blocking probabilities per pair and bandwidth;4;40.0Gbps;20;15; ;0;0;0;0;0;0;0;0;0;0;;;;
blocking probabilities per pair and bandwidth;4;40.0Gbps;7;3; ;0;0;0;0.041666667;0;0;0;0;0;0;;;;
blocking probabilities per pair and bandwidth;4;40.0Gbps;23;7; ;0;0;0;0;0;0;0;0;0;0;;;;
blocking probabilities per pair and bandwidth;4;40.0Gbps;2;22; ;0;0;0;0;0;0;0;0;0;0;;;;
blocking probabilities per pair and bandwidth;4;40.0Gbps;12;16; ;0;0;0;0;0;0;0;0;0;0;;;;
blocking probabilities per pair and bandwidth;4;40.0Gbps;27;19; ;0;0;0;0;0;0;0;0;0;0;;;;
blocking probabilities per pair and bandwidth;4;40.0Gbps;27;12; ;0;0;0;0;0;0;0;0;0;0.041666667;;;;
blocking probabilities per pair and bandwidth;4;40.0Gbps;11;3; ;0;0;0;0;0;0;0;0;0;0;;;;
blocking probabilities per pair and bandwidth;4;40.0Gbps;28;7; ;0;0;0;0;0;0;0;0;0;0.047619048;;;;
blocking probabilities per pair and bandwidth;4;40.0Gbps;7;16; ;0;0;0;0;0;0;0;0;0;0;;;;
blocking probabilities per pair and bandwidth;4;40.0Gbps;13;15; ;0;0;0;0;0;0;0;0;0;0;;;;
blocking probabilities per pair and bandwidth;4;40.0Gbps;25;16; ;0;0;0;0;0;0;0;0;0;0;;;;
blocking probabilities per pair and bandwidth;4;40.0Gbps;3;2; ;0;0;0;0;0;0;0;0;0;0;;;;
blocking probabilities per pair and bandwidth;4;40.0Gbps;14;19; ;0;0;0;0;0;0;0;0;0;0;;;;
blocking probabilities per pair and bandwidth;4;40.0Gbps;24;9; ;0;0;0;0;0;0;0;0;0;0;;;;
blocking probabilities per pair and bandwidth;4;40.0Gbps;3;23; ;0;0;0;0;0;0.052631579;0;0;0;0;;;;
blocking probabilities per pair and bandwidth;4;40.0Gbps;6;11; ;0;0;0.038461538;0;0;0;0;0.047619048;0;0;;;;
blocking probabilities per pair and bandwidth;4;40.0Gbps;11;9; ;0;0;0;0;0;0;0;0;0;0;;;;
blocking probabilities per pair and bandwidth;4;40.0Gbps;8;1; ;0.03030303;0;0;0.055555556;0;0;0;0;0;0;;;;
blocking probabilities per pair and bandwidth;4;40.0Gbps;20;2; ;0;0;0;0;0;0;0;0;0;0;;;;
blocking probabilities per pair and bandwidth;4;40.0Gbps;1;24; ;0;0;0;0.071428571;0;0;0;0;0;0;;;;
blocking probabilities per pair and bandwidth;4;40.0Gbps;10;26; ;0;0;0;0;0;0;0;0;0;0;;;;
blocking probabilities per pair and bandwidth;4;40.0Gbps;13;2; ;0;0;0;0;0;0;0;0;0;0;;;;
blocking probabilities per pair and bandwidth;4;40.0Gbps;13;9; ;0;0;0;0;0;0;0;0;0;0;;;;
blocking probabilities per pair and bandwidth;4;40.0Gbps;8;23; ;0;0;0;0;0;0.041666667;0;0.05;0;0;;;;
blocking probabilities per pair and bandwidth;4;40.0Gbps;19;9; ;0;0;0;0;0;0;0;0;0;0;;;;
blocking probabilities per pair and bandwidth;4;40.0Gbps;1;10; ;0.05;0;0;0;0;0;0;0;0;0;;;;
blocking probabilities per pair and bandwidth;4;40.0Gbps;4;10; ;0;0;0;0;0;0;0;0;0;0;;;;
blocking probabilities per pair and bandwidth;4;40.0Gbps;11;4; ;0;0;0;0;0;0;0;0;0;0;;;;
